id	date	text
1	2007-01-20	Steel entered his soul as, during the 1974-79 Labour governments, Britain became known as ''the sick man of Europe'', with the annualised monthly inflation rate rising in 1975 to more than 25 per cent and public spending and borrowing scaling un-Conservative heights."
2	2007-01-20	This is important because inflation was around 10 per cent when the Thatcher government entered the last chance saloon, and the Clegg Commission pay awards aggravated the trend of inflation."
3	2007-01-20	This is important because inflation was around 10 per cent when the Thatcher government entered the last chance saloon, and the Clegg Commission pay awards aggravated the trend of inflation ."
4	2007-01-20	This fed into the retail price index, also affecting wage claims and subsequent inflation ."
5	2007-01-20	(This reminded me of Geoffrey Goodman''s impression from discussions at the time with Howe and others - recorded in From Bevan to Blair - that they were ''quite content to let the Wilson government grapple with an ""impossible"" economic climate, inflation , pressure from the IMF and cuts in social spending''.) Interestingly, Howe recalls trying to dissuade Joseph - John the Baptist to Thatcher''s Messiah - from making the controversial speech in Preston in 1974 that actually advocated higher unemployment."
6	2007-01-20	Can even China insulate its domestic financial system from such fantastic growth in its reserves and stop inflation rising?"
7	2007-01-20	With inflation climbing, the pay round will be the next flashpoint."
8	2007-01-20	Ed Blissett of the GMB says: ''It is highly likely that we would want to keep rates at least at, if not exceeding, inflation .''"
9	2007-01-20	Pay With inflation high, unions across industry are looking for big increases in this year''s pay round."
10	2007-01-20	At school he was a very studious boy and very bright- it was clear that he would go a long way Bank of England governor in the spotlight as rate of inflation hits 15-year high Friday 19 January 2007 08.16 GMT First published on Friday 19 January 2007 08.16 GMT For a man who famously said setting interest rates should be boring, Mervyn King , the erudite governor of the Bank of England, is right back in the spotlight after the Bank''s shock interest rate rise last week."
11	2007-01-20	Suddenly everyone is discussing the rate of inflation , the price of gas or flat screen TVs and the pay rise they might get as a result of inflation leaping to a 15-year high."
12	2007-01-20	Suddenly everyone is discussing the rate of inflation, the price of gas or flat screen TVs and the pay rise they might get as a result of inflation leaping to a 15-year high."
13	2007-01-20	But any satisfaction might be tempered by the fact that this week''s rise in inflation was to within a whisker of the level at which he would have to write, for the first time, an open letter to Gordon Brown explaining why he and his colleagues on the monetary policy committee had let it stray more than a percentage point from its 2% target."
14	2007-01-20	Mr King''s point is that low and stable inflation cannot be taken for granted as last week''s surge in inflation showed."
15	2007-01-20	Mr King''s point is that low and stable inflation cannot be taken for granted as last week''s surge in inflation showed."
16	2007-01-20	He has a keen sense of his role in explaining the Bank''s purpose and the importance of low inflation ."
17	2007-01-20	The adoption of the euro creates the right conditions for economic prosperity by providing low inflation and low interest rates,"" he said."
18	2007-01-20	The euro allowed Kosovo to have a stable currency and almost zero-percent inflation , and made foreign trade easier,"" said Mechthild Henneke, a UN spokeswoman."
19	2007-01-20	This was partly because of Mr. Friedman''s insistent, larger-than-life personality, and partly because Keynesian economics failed to adequately explain and respond to the simultaneous outbreak of higher inflation and rising unemployment that emerged in the 1970s."
20	2007-01-20	Keynesians, for example, argued that the government could use changes in taxes and spending to help push the economy to full employment without running the risk of excessive inflation ."
21	2007-01-20	For example, he says, people don''t automatically insist on raises that keep their pay on par with inflation ."
22	2007-02-20	The consortium, which hopes to keep Mr King and the current management team in place, is also understood to believe that supermarket margins, aided by the return of food price inflation , are now on an upward path."
23	2007-02-20	The big grocers have been reporting food price deflation for several years, but the market is now relatively benign and the Office for National Statistics recently reported food price inflation running at more than 4%."
24	2007-02-20	But don''t get too worried about inflation ."
25	2007-02-20	Mr. Gesell proposed that money automatically depreciate over time – essentially hard-wiring inflation into the currency to generate an incentive to spend quickly."
26	2007-02-20	The Stern Review assumed that a dollar of economic damage prevented a century from now (adjusted for inflation ) is roughly as valuable as a dollar spent reducing emissions today."
27	2007-03-20	Annual payments will start at £29m and rise in line with inflation , capped at 3.5% per year, and Tesco - the UK''s largest retailer - said it would make a £142m profit from the deal."
28	2007-03-20	High rises House prices in England rose 6% last year - three times faster than the consumer price index of inflation Average house prices have risen by 139% since Labour came to power in 1997."
29	2007-03-20	Its chief economist, Jean-Philippe Cotis, described Britain as a ""goldilocks"" economy - getting the balance of strong growth and low inflation just right."
