id	date	tss	tsi	adjectives	adverbs	all_caps_words	c_nouns	redups	chars	function_words	emojis	handles	hashtags	urls	hashtag_dict	handle_dict	url_dict	emoji_dict	lex_words	lines	multi_words	numerals	punct	p_nouns	q_marks	avg_sent_length	other_pos	single_words	tokens	words	tt_ratio	types	verbs	x_marks	topics	entities	tss_cat2	tss_cat3	tss_cat9	tsi_cat	profile
1	20-1-07	33	100	5	0	0	9	0	268	16	0	0	0	0	{}	{}	{}	{}	22	1	4	4	9	4	0	51.0	3	12	51	51	0.745	38	5	0	{'sick man': 1, 'inflation rate': 1, 'public spending': 1, 'un-conservative heights': 1, 'annualised monthly inflation': 1}	{}	NEG	NEG	Fairly negative	Extremely intense	[]
2	20-1-07	33	100	2	0	0	9	0	191	13	0	0	0	0	{}	{}	{}	{}	16	1	1	1	3	3	0	33.0	1	11	33	33	0.788	26	2	0	{'pay awards': 1, 'last chance saloon': 1, 'trend of inflation': 1}	{'Clegg Commission': 1}	NEG	NEG	Fairly negative	Extremely intense	[]
3	20-1-07	33	100	2	0	0	9	0	192	13	0	0	0	0	{}	{}	{}	{}	16	1	1	1	3	3	0	33.0	1	11	33	33	0.788	26	2	0	{'pay awards': 1, 'last chance saloon': 1, 'trend of inflation': 1}	{'Clegg Commission': 1}	NEG	NEG	Fairly negative	Extremely intense	[]
4	20-1-07	50	0	2	0	0	5	0	92	5	0	0	0	0	{}	{}	{}	{}	9	1	1	0	3	0	0	17.0	0	7	17	17	0.824	14	2	0	{'wage claims': 1, 'subsequent inflation': 1, 'retail price index': 1}	{}	NEG	NEU	Neutral	Factual	[]
5	20-1-07	42	100	6	1	1	15	0	512	32	0	0	0	0	{}	{}	{}	{}	42	1	4	1	20	11	0	47.5	1	25	95	95	0.632	60	9	0	"{""goodman''s impression"": 1, 'economic climate': 1, 'social spending': 1, 'bevan to blair': 1, 'controversial speech': 1, ""baptist to thatcher''s"": 1}"	{}	NEG	NEG	Fairly negative	Extremely intense	[50.0, 100.0, 100.0, 50.0, 0.0, 0.0, 100.0, 50.0, 0.0, 33.0]
6	20-1-07	100	100	3	0	0	4	0	124	8	0	0	0	0	{}	{}	{}	{}	11	1	1	0	2	1	1	21.0	0	9	21	21	0.857	18	3	0	{'domestic financial system': 1, 'such fantastic growth': 1}	{}	POS	POS	Extremely positive	Extremely intense	[]
7	20-1-07	100	100	0	0	0	4	0	68	6	0	0	0	0	{}	{}	{}	{}	5	1	1	0	3	0	0	14.0	0	3	14	14	0.714	10	1	0	{'pay round': 1, 'next flashpoint': 1}	{}	POS	POS	Extremely positive	Extremely intense	[]
8	20-1-07	50	0	2	1	1	2	0	129	12	0	0	0	0	{}	{}	{}	{}	12	1	1	0	9	3	0	33.0	0	9	33	33	0.697	23	4	0	{}	{'Ed Blissett': 1}	POS	NEU	Neutral	Factual	[]
9	20-1-07	50	0	2	0	0	6	0	105	6	0	0	0	0	{}	{}	{}	{}	11	1	0	0	3	0	0	20.0	0	11	20	20	0.85	17	3	0	"{'big increases': 1, 'unions across industry': 1, ""year''s pay round"": 1}"	{}	POS	NEU	Neutral	Factual	[]
10	20-1-07	66	100	8	3	2	22	0	474	34	0	0	0	0	{}	{}	{}	{}	45	1	5	9	7	10	0	95.0	7	26	95	95	0.663	63	4	0	"{'bank of england': 2, 'studious boy': 1, 'long way': 1, 'inflation hits': 1, 'interest rates': 1, 'erudite governor': 1, 'interest rate': 1, 'last week': 1, 'rate of inflation': 1, ""bank''s shock interest"": 1}"	{'Mervyn King': 1}	POS	POS	Fairly positive	Extremely intense	[100.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 57.99999999999999]
11	20-1-07	100	100	2	1	0	11	0	176	16	0	0	0	0	{}	{}	{}	{}	17	1	2	1	4	0	0	38.0	1	14	38	38	0.737	28	3	0	{'pay rise': 1, 'rate of inflation': 1, 'price of gas': 1, 'flat screen tvs': 1, 'result of inflation': 1}	{}	POS	POS	Extremely positive	Extremely intense	[]
