ID	Item	Cooccurrences	Candidates	T-score	MI	LogDice
1	rate-n	72	1826	8.48089	10.91608	9.90548
2	rise-v	53	1554	7.27575	10.70678	9.63252
3	adjust-v	16	87	3.99956	13.13768	9.50614
4	high-j	70	2891	8.35955	10.21256	9.34588
5	wage-n	17	351	4.12137	11.21276	9.14348
6	rise-n	21	634	4.57975	10.66461	9.08398
7	price-n	63	3450	7.92838	9.80553	8.98151
8	slow-v	13	221	3.6043	11.49316	8.96066
9	hit-v	19	749	4.35539	10.27973	8.81434
10	measure-n	18	687	4.23934	10.32639	8.80251
11	growth-n	36	2026	5.99311	9.76613	8.79271
12	fight-v	12	285	3.46242	11.01077	8.74104
13	fuel-v	9	120	2.99918	11.84366	8.6115
14	erode-v	8	52	2.82805	12.88019	8.57794
15	increase-n	17	876	4.11877	9.8933	8.52713
16	fear-n	12	436	3.46153	10.39741	8.52157
17	forecast-n	10	298	3.16035	10.68339	8.45774
18	CPI-n	7	32	2.6455	13.38798	8.42798
19	quarterly-j	8	129	2.8275	11.5694	8.42446
20	pressure-n	13	641	3.60192	9.95689	8.38416
21	commodity-n	10	398	3.15971	10.26593	8.3107
22	expectation-n	9	295	2.99799	10.54598	8.31039
23	interest-n	19	1370	4.35249	9.40859	8.27926
24	inflation-n	12	634	3.46037	9.85725	8.27662
25	consumer-n	26	2144	5.09044	9.21498	8.26061
26	real-j	14	903	3.73673	9.5694	8.22145
27	index-n	10	471	3.15924	10.02297	8.2121
28	tame-j	5	9	2.23599	14.73263	7.99325
29	household-n	8	421	2.82539	9.86295	7.95697
30	remain-v	14	1241	3.73489	9.11069	7.93468
31	fall-v	15	1388	3.86567	9.04873	7.92532
32	bubble-n	6	178	2.44801	10.68986	7.91963
33	low-j	14	1290	3.73462	9.05483	7.89746
34	nation-n	9	609	2.99586	9.50025	7.89031
35	tighten-v	5	64	2.23548	11.90256	7.87484
36	run-v	16	1625	3.99171	8.9144	7.85853
37	push-v	9	662	2.9955	9.37986	7.83007
38	calculate-v	5	106	2.2351	11.17463	7.79055
39	annual-j	9	699	2.99525	9.3014	7.78946
40	argue-v	9	700	2.99524	9.29934	7.78838
41	food-n	13	1297	3.59821	8.9401	7.78531
42	ease-v	5	117	2.235	11.03219	7.76926
43	high-n	5	134	2.23485	10.83647	7.73697
44	temporary-j	5	140	2.23479	10.77327	7.72574
45	continue-v	13	1413	3.59755	8.81652	7.70114
46	concern-n	9	797	2.99458	9.11212	7.68712
47	tackle-v	5	167	2.23454	10.51885	7.67627
48	gauge-n	4	10	1.9999	14.2587	7.66908
49	elevated-j	4	14	1.99986	13.77327	7.66015
50	persistently-a	4	15	1.99985	13.67374	7.65793
51	dampen-v	4	27	1.99972	12.82574	7.63149
52	rebound-v	4	33	1.99966	12.53623	7.61846
53	creep-v	4	36	1.99963	12.4107	7.61198
54	economist-n	8	718	2.82325	9.09279	7.59912
55	cause-v	7	559	2.64144	9.26128	7.58698
56	figure-n	9	900	2.99388	8.93677	7.58684
57	protection-n	5	221	2.23405	10.11465	7.58215
58	basket-n	4	53	1.99946	11.85271	7.57583
59	curb-v	4	56	1.99943	11.77327	7.56955
60	soar-v	5	229	2.23398	10.06335	7.56871
61	lag-v	4	59	1.9994	11.69798	7.56329
62	future-j	6	412	2.44606	9.47909	7.5543
63	threat-n	5	245	2.23383	9.96592	7.54221
64	percent-n	21	3088	4.56882	8.38049	7.53046
65	show-v	13	1692	3.59598	8.55655	7.5168
66	Bank-n	12	1514	3.45518	8.60144	7.51618
67	release-v	6	456	2.44569	9.3327	7.49485
68	raise-v	10	1193	3.15458	8.68218	7.48667
69	steady-j	4	103	1.99895	10.89413	7.47448
70	spending-n	7	687	2.64045	8.96382	7.43994
73	datum-n	8	902	2.82192	8.76364	7.41504
74	hurt-v	4	135	1.99862	10.50381	7.41316
76	raw-j	4	141	1.99856	10.44108	7.40195
78	housing-n	5	336	2.233	9.51024	7.40009
79	difficult-j	6	531	2.44507	9.11302	7.39885
80	climb-v	4	145	1.99852	10.40072	7.39452
81	headline-n	4	148	1.99849	10.37117	7.38898
82	prevent-v	5	345	2.23292	9.4721	7.38676
83	VAT-n	4	152	1.99845	10.3327	7.38161
84	income-n	7	749	2.63997	8.83916	7.37377
85	weak-j	5	365	2.23274	9.3908	7.35759
86	core-j	4	166	1.99831	10.20559	7.35614
87	control-n	6	582	2.44464	8.98071	7.33703
88	fuel-n	6	590	2.44457	8.96102	7.32757
89	target-n	6	593	2.44455	8.9537	7.32404
90	priority-n	4	185	1.99811	10.04925	7.32228
91	partly-a	4	197	1.99799	9.95858	7.3013
92	battle-n	4	206	1.9979	9.89413	7.28575
93	sign-n	5	424	2.2322	9.17463	7.2748
94	undesirable-j	3	8	1.73196	14.16559	7.25853
95	boost-v	4	231	1.99764	9.72888	7.24344
96	stubbornly-a	3	16	1.73186	13.16559	7.24067
97	RPI-n	3	30	1.7317	12.2587	7.20992
98	briefing-n	3	34	1.73165	12.07813	7.20126
99	rein-v	3	37	1.73161	11.95614	7.19479
100	Fed-n	4	270	1.99725	9.50381	7.17982
101	accurate-j	3	48	1.73149	11.58063	7.17133
102	control-v	4	276	1.99718	9.4721	7.17028
103	peak-v	3	49	1.73147	11.55088	7.16922
104	unemployment-n	5	507	2.23144	8.91671	7.16585
105	MPC-n	3	51	1.73145	11.49316	7.165
106	likely-j	6	742	2.44331	8.63031	7.1587
107	next-j	10	1665	3.15153	8.20125	7.15514
108	economy-n	13	2360	3.59219	8.0765	7.15258
109	gate-n	3	58	1.73137	11.30761	7.15033
110	three-year-j	3	62	1.73132	11.21139	7.14202
111	account-n	6	758	2.44317	8.59954	7.14202
112	central-j	5	535	2.23119	8.83916	7.13087
113	cope-v	3	75	1.73117	10.93677	7.11532
114	hedge-n	3	78	1.73113	10.88019	7.10923
115	account-v	4	323	1.9967	9.24524	7.09762
116	stable-j	3	93	1.73096	10.62643	7.07915
117	down-a	7	1069	2.63751	8.32594	7.07349
118	fight-n	3	108	1.73078	10.4107	7.04969
119	January-n	5	611	2.23049	8.64753	7.04
120	prove-v	4	366	1.99627	9.06493	7.03422
121	trigger-v	3	125	1.73058	10.19981	7.01701
122	late-j	7	1139	2.63697	8.23443	7.01538
123	accelerate-v	3	133	1.73048	10.11031	7.00188
124	around-a	4	389	1.99603	8.977	7.00141
125	government-n	17	3739	4.1046	7.79965	6.99306
126	mainly-a	3	141	1.73039	10.02604	6.98691
127	June-n	5	665	2.23	8.52534	6.97874
128	report-n	9	1747	2.98812	7.97989	6.95257
129	living-n	3	162	1.73014	9.82574	6.94834
130	far-a	7	1228	2.63628	8.12589	6.94472
131	monthly-j	3	166	1.7301	9.79055	6.94111
132	goal-n	4	439	1.99552	8.80255	6.93257
133	news-n	6	980	2.44133	8.22895	6.92854
134	affect-v	4	446	1.99545	8.77973	6.92318
135	face-v	6	993	2.44122	8.20994	6.91696
136	struggle-v	4	455	1.99536	8.7509	6.91121
137	month-n	13	2911	3.58908	7.77377	6.90887
138	Reserve-n	3	185	1.72987	9.63421	6.90724
139	increasingly-a	4	458	1.99533	8.74142	6.90724
140	again-a	5	743	2.22929	8.36534	6.89462
141	widely-a	3	196	1.72974	9.55088	6.88799
142	expect-v	9	1863	2.98733	7.88714	6.88394
143	recent-j	7	1311	2.63564	8.03153	6.8818
144	consequence-n	3	202	1.72967	9.50738	6.8776
145	sharply-a	3	213	1.72954	9.43088	6.85874
146	slow-j	3	233	1.72931	9.3014	6.82507
147	still-a	10	2269	3.14764	7.75471	6.8186
148	measure-v	3	243	1.72919	9.24078	6.80853
149	clothing-n	3	248	1.72913	9.21139	6.80033
150	Federal-n	3	255	1.72905	9.17124	6.78892
151	last-j	18	4719	4.21994	7.54629	6.78379
152	threaten-v	3	259	1.729	9.14878	6.78245
153	suggest-v	5	864	2.22818	8.14767	6.77311
154	reduce-v	6	1166	2.43978	7.97824	6.77118
155	keep-v	6	1174	2.43971	7.96837	6.76478
156	risk-n	6	1175	2.4397	7.96714	6.76399
157	contain-v	3	271	1.72886	9.08344	6.76319
158	employment-n	3	272	1.72885	9.07813	6.7616
159	output-n	3	290	1.72863	8.98568	6.73321
160	eventually-a	3	291	1.72862	8.98071	6.73165
161	level-n	6	1248	2.43909	7.88019	6.70691
162	March-n	5	935	2.22754	8.03373	6.7063
163	bring-v	7	1568	2.63366	7.77327	6.70276
164	tend-v	3	317	1.72832	8.85725	6.69166
165	past-j	4	639	1.99348	8.26096	6.68598
166	shopping-n	3	326	1.72821	8.81686	6.67807
167	once-a	4	647	1.9934	8.24301	6.67695
168	together-a	4	650	1.99337	8.23633	6.67357
169	form-n	3	341	1.72803	8.75196	6.6557
170	old-j	4	678	1.99308	8.17549	6.64245
171	reason-n	4	679	1.99307	8.17336	6.64135
172	set-v	6	1352	2.43823	7.76471	6.62931
173	recession-n	4	694	1.99292	8.14184	6.62496
174	begin-v	6	1365	2.43812	7.7509	6.6199
175	England-n	3	375	1.72763	8.61484	6.60625
176	admit-v	3	384	1.72753	8.58063	6.59344
177	economic-j	7	1748	2.63227	7.61649	6.5894
178	up-a	5	1072	2.22628	7.83647	6.58553
179	close-j	3	394	1.72741	8.54354	6.57934
180	well-a	9	2470	2.9832	7.48026	6.57001
181	fall-n	3	406	1.72727	8.50025	6.56259
182	stand-v	3	427	1.72702	8.4275	6.53375
183	act-v	3	428	1.72701	8.42412	6.53239
184	suffer-v	3	431	1.72697	8.41405	6.52832
185	back-a	7	1857	2.63143	7.52922	6.52485
186	believe-v	5	1167	2.22542	7.71397	6.50735
187	ahead-a	3	501	1.72615	8.19692	6.43649
188	main-j	3	502	1.72614	8.19405	6.43522
189	easy-j	3	528	1.72583	8.1212	6.40257
190	Wednesday-n	4	965	1.99015	7.66624	6.35705
191	see-v	9	3001	2.97959	7.19932	6.34219
192	World-n	3	579	1.72523	7.98817	6.3406
193	key-j	3	580	1.72522	7.98568	6.33941
194	further-j	3	581	1.72521	7.9832	6.33822
195	demand-n	4	989	1.98991	7.6308	6.33555
196	December-n	3	591	1.72509	7.95858	6.3264
197	point-n	5	1416	2.22315	7.43495	6.32052
198	period-n	3	597	1.72502	7.944	6.31935
199	line-n	4	1013	1.98966	7.59621	6.31438
200	now-a	11	3896	3.29265	7.11228	6.31414
201	help-v	7	2301	2.628	7.21994	6.28821
202	develop-v	4	1044	1.98935	7.55272	6.28747
203	even-a	8	2724	2.80877	7.16912	6.28661
204	just-a	9	3179	2.97838	7.11619	6.27321
205	result-n	4	1071	1.98907	7.51588	6.26444
206	too-a	5	1544	2.22198	7.3101	6.23314
207	use-v	9	3320	2.97742	7.05358	6.22083
208	hard-j	3	684	1.72399	7.74774	6.22083
209	France-n	3	690	1.72392	7.73514	6.21428
210	year-n	25	10532	4.95702	6.86199	6.19703
211	give-v	7	2500	2.62647	7.10027	6.19357
212	six-m	3	715	1.72363	7.68379	6.18729
213	supply-n	3	716	1.72362	7.68177	6.18622
214	lead-v	5	1622	2.22127	7.239	6.18238
215	come-v	9	3442	2.97659	7.00152	6.17699
216	[number]-m	121	54368	10.89914	6.76902	6.17167
217	cash-n	3	741	1.72332	7.63226	6.15975
218	policy-n	4	1206	1.9877	7.34461	6.15451
219	retail-j	3	762	1.72307	7.59194	6.13788
220	second-j	3	775	1.72292	7.56754	6.12451
221	take-v	11	4552	3.28862	6.88777	6.11903
222	power-n	4	1267	1.98707	7.27343	6.10746
223	so-a	9	3666	2.97506	6.91056	6.0998
224	seek-v	3	806	1.72255	7.51095	6.09311
225	more-a	9	3690	2.9749	6.90115	6.09177
226	effort-n	3	808	1.72253	7.50738	6.09111
227	analyst-n	4	1300	1.98674	7.23633	6.08263
228	time-n	10	4210	3.13511	6.86295	6.07994
229	euro-n	3	823	1.72235	7.48084	6.07618
230	include-v	8	3258	2.80492	6.91086	6.0737
231	make-v	15	6688	3.83775	6.78016	6.06887
232	already-a	4	1325	1.98648	7.20885	6.0641
233	one-m	13	5761	3.57295	6.78896	6.05771
234	increase-v	4	1346	1.98627	7.18616	6.04872
235	mean-v	4	1359	1.98613	7.1723	6.03927
236	today-n	4	1388	1.98584	7.14184	6.01843
237	have-v	75	37279	8.57241	6.62337	6.01841
238	two-m	7	2906	2.62334	6.88316	6.01782
239	long-j	3	894	1.72152	7.36146	6.00753
240	country-n	7	2941	2.62307	6.86589	6.00363
241	rather-a	3	921	1.7212	7.31853	5.98226
242	America-n	3	927	1.72113	7.30916	5.97671
243	be-v	190	98641	13.63802	6.56058	5.97071
244	eurozone-n	3	959	1.72075	7.2602	5.94743
245	about-a	6	2570	2.42808	6.83804	5.9393
246	term-n	3	973	1.72059	7.23929	5.93481
247	important-j	3	975	1.72056	7.23633	5.93301
248	cut-v	3	1030	1.71992	7.15716	5.88452
249	turn-v	3	1037	1.71983	7.14739	5.87847
250	current-j	4	1600	1.98367	6.93677	5.87459
251	bad-j	3	1043	1.71976	7.13907	5.8733
252	spend-v	3	1059	1.71957	7.1171	5.8596
253	get-v	9	4449	2.96974	6.63129	5.85846
254	start-v	4	1712	1.98253	6.83916	5.80401
255	grow-v	4	1713	1.98252	6.83832	5.8034
256	great-j	3	1129	1.71875	7.02476	5.80115
257	create-v	4	1723	1.98242	6.82992	5.79726
258	bank-n	8	4123	2.79868	6.57115	5.78416
259	tax-n	4	1848	1.98114	6.72888	5.72271
