ID	Item	Cooccurrences	Candidates	T-score	MI	LogDice
1	low-j	219	3291	14.78650	10.25067	10.49054	
2	negative-j	83	523	9.10730	11.50457	10.25870	
3	zero-m	66	304	8.12199	11.95666	10.07789	
4	rate-n	161	5147	12.66642	9.16160	9.59029	
6	target-n	60	1144	7.73790	9.90721	9.43471	
7	wage-n	75	2000	8.64764	9.42323	9.37668	
8	expectation-n	40	705	6.31847	10.02064	9.09191	
9	remain-v	67	2336	8.16976	9.03646	9.08845	
10	core-j	32	289	5.65406	10.98527	9.04435	
11	rise-v	69	2744	8.28858	8.84665	8.99186	
12	fall-v	80	3492	8.92295	8.71229	8.98069	
13	expect-v	83	3698	9.08826	8.68271	8.97763	
14	measure-n	43	1100	6.54828	9.48317	8.97660	
15	Bank-n	72	3049	8.46565	8.75600	8.95743	
16	zero-v	27	92	5.19519	12.39152	8.94995	
17	UK-n	108	5843	10.36159	8.40259	8.87454	
18	back-a	57	2348	7.53285	8.79587	8.85097	
19	figure-n	46	1571	6.76968	9.06629	8.84937	
20	growth-n	93	4919	9.61579	8.43520	8.84742	
21	price-n	122	7336	11.00908	8.25015	8.78975	
22	CPI-n	23	72	4.79501	12.51383	8.73484	
23	keep-v	44	1983	6.61692	8.66616	8.61394	
24	adjust-v	23	272	4.79273	10.59629	8.58031	
25	pick-v	25	468	4.99489	9.93369	8.56370	
26	target-v	23	355	4.79179	10.21208	8.52075	
27	inflation-n	38	1697	6.14938	8.67935	8.51916	
28	consumer-n	51	2903	7.11923	8.32929	8.50501	
29	forecast-n	25	674	4.99264	9.40745	8.43258	
32	high-j	55	3822	7.38805	8.04144	8.35117	
33	Fed-n	28	1137	5.27977	8.81653	8.33873	
34	fall-n	27	1043	5.18519	8.88856	8.33493	
35	turn-v	30	1386	5.46340	8.63037	8.31677	
36	deflation-n	19	267	4.35555	10.34743	8.30835	
37	weak-j	25	893	4.99024	9.00154	8.30512	
38	measure-v	19	275	4.35545	10.30484	8.30248	
39	hit-v	27	1117	5.18441	8.78967	8.29648	
40	sign-n	23	743	4.78737	9.14654	8.27090	
41	quarterly-j	18	266	4.23922	10.27484	8.23108	
42	confident-j	18	277	4.23907	10.21638	8.22302	
43	report-n	37	2435	6.06090	8.11994	8.19683	
44	headline-n	19	439	4.35340	9.63005	8.18723	
45	rise-n	28	1468	5.27635	8.44791	8.17937	
46	annual-j	27	1377	5.18168	8.48777	8.16899	
47	interest-n	39	2795	6.22055	7.99696	8.15226	
48	unemployment-n	20	654	4.46415	9.12898	8.12287	
49	push-v	22	927	4.67962	8.76320	8.10188	
51	increase-n	26	1514	5.08280	8.29649	8.05163	
52	show-v	35	2668	5.89145	7.90794	8.03752	
54	risk-n	27	1819	5.17703	8.08615	7.97517	
55	likely-j	24	1452	4.88279	8.24133	7.96428	
56	move-v	25	1643	4.98205	8.12193	7.93822	
57	reasonably-a	13	49	3.60481	12.24593	7.93060	
58	drive-v	21	1182	4.56849	8.34550	7.90097	
59	sluggish-j	13	86	3.60425	11.43437	7.90035	
60	pressure-n	21	1238	4.56782	8.27872	7.87317	
61	England-n	19	994	4.34644	8.45102	7.85400	
62	exclude-v	14	290	3.73742	9.78764	7.85098	
63	explain-v	17	747	4.11321	8.70269	7.83243	
64	Carney-n	14	351	3.73653	9.51222	7.80735	
65	level-n	24	1819	4.87870	7.91623	7.80524	
66	term-n	23	1684	4.77665	7.96608	7.80033	
67	economist-n	21	1393	4.56597	8.10853	7.79893	
68	stay-v	16	672	3.99082	8.76788	7.78994	
69	pay-n	21	1433	4.56550	8.06769	7.78037	
70	index-n	16	697	3.99048	8.71518	7.77479	
71	downward-j	12	127	3.46210	10.75647	7.75207	
72	basket-n	12	130	3.46205	10.72279	7.74970	
73	outlook-n	14	440	3.73523	9.18619	7.74598	
74	@card@-m	12	135	3.46197	10.66834	7.74576	
75	effect-n	17	911	4.11104	8.41635	7.73873	
76	down-a	21	1546	4.56415	7.95819	7.72920	
78	economic-j	28	2659	5.26406	7.59088	7.71857	
79	drop-n	15	637	3.86400	8.75194	7.71830	
80	mean-v	24	2039	4.87625	7.75151	7.71768	
81	real-j	19	1278	4.34288	8.08845	7.70925	
82	even-a	32	3333	5.62467	7.45759	7.70366	
83	return-v	15	669	3.86355	8.68122	7.69866	
84	further-j	18	1208	4.22709	8.09172	7.66560	
85	percent-n	35	3955	5.87956	7.34002	7.66474	
86	drop-v	15	729	3.86270	8.55731	7.66253	
87	boost-v	14	580	3.73319	8.78764	7.65444	
88	very-a	25	2462	4.97310	7.53844	7.62184	
89	factor-n	13	485	3.59820	8.93879	7.60900	
91	December-n	18	1391	4.22473	7.88821	7.57747	
92	suggest-v	18	1392	4.22472	7.88718	7.57700	
93	persistently-a	10	32	3.16172	12.48212	7.56621	
94	increase-v	25	2643	4.97113	7.43609	7.56038	
96	further-a	13	625	3.59608	8.57292	7.51929	
97	rebound-v	10	99	3.16057	10.85277	7.51136	
100	datum-n	18	1571	4.22242	7.71265	7.49573	
101	currently-a	13	673	3.59536	8.46617	7.48977	
102	central-j	16	1227	3.98325	7.89928	7.48627	
103	well-a	29	3627	5.34838	7.19362	7.47969	
105	recent-j	20	2022	4.44744	7.50056	7.46123	
106	help-v	28	3525	5.25512	7.18414	7.45697	
107	official-j	11	365	3.31061	9.10787	7.44960	
108	cheap-j	13	745	3.59427	8.31954	7.44659	
109	Eurozone-n	10	184	3.15910	9.95856	7.44464	
110	on-n	10	204	3.15875	9.80970	7.42939	
111	raise-v	22	2506	4.66123	7.32846	7.42223	
113	month-n	35	5113	5.86887	6.96952	7.39584	
114	bring-v	18	1831	4.21907	7.49170	7.38529	
116	continue-v	27	3677	5.15750	7.07077	7.36311	
117	pace-n	11	497	3.30844	8.66252	7.36008	
118	record-n	15	1313	3.85447	7.70843	7.35134	
119	again-a	14	1129	3.72518	7.82672	7.34281	
121	MPC-n	9	142	2.99741	10.18037	7.32522	
123	late-j	19	2189	4.33147	7.31207	7.32386	
124	household-n	12	758	3.45215	8.17910	7.32346	
125	stable-j	9	154	2.99720	10.06333	7.31584	
126	start-v	21	2679	4.55064	7.16503	7.29692	
127	Britain-n	16	1651	3.97746	7.47107	7.29092	
128	period-n	14	1239	3.72357	7.69259	7.28772	
129	economy-n	28	4229	5.24785	6.92145	7.27451	
130	temporary-j	9	221	2.99598	9.54222	7.26454	
132	eurozone-n	14	1307	3.72258	7.61551	7.25469	
133	RPI-n	8	25	2.82794	12.51634	7.25013	
134	little-j	12	889	3.45008	7.94912	7.24846	
135	weigh-v	9	245	2.99554	9.39348	7.24660	
136	employment-n	11	696	3.30516	8.17668	7.23483	
