ID	Item	Cooccurrences	Candidates	T-score	MI	LogDice
1	curb-v	11	52	3.31645	14.24708	9.85210
2	rate-n	43	1231	6.55540	11.64874	9.81064
3	adjust-v	10	90	3.16197	13.31816	9.58046
4	wage-n	12	237	3.46336	12.18431	9.41754
5	food-n	24	926	4.89692	11.21818	9.28118
6	rise-v	24	1079	4.89658	10.99757	9.11634
7	double-digit-j	6	35	2.44933	13.94377	9.04193
9	Gulf-n	5	75	2.23570	12.58120	8.63193
11	Vietnam-n	5	84	2.23566	12.41770	8.60083
12	high-n	5	87	2.23564	12.36707	8.59061
13	keep-v	17	1151	4.12007	10.40688	8.54733
14	endure-v	4	30	1.99984	13.58120	8.47644
15	sharply-a	5	137	2.23540	11.71198	8.43014
16	commodity-n	6	245	2.44840	11.13641	8.39761
17	currency-n	5	163	2.23527	11.46129	8.35326
18	concern-n	8	499	2.82651	10.52519	8.29092
19	core-j	4	81	1.99956	12.14824	8.28919
20	fall-v	14	1177	3.73824	10.09454	8.24225
21	cause-n	5	204	2.23508	11.13759	8.23978
22	economy-n	15	1332	3.86924	10.01560	8.20126
23	pace-n	4	113	1.99939	11.66791	8.18302
24	recession-n	8	567	2.82625	10.34088	8.17823
25	slow-v	5	234	2.23493	10.93965	8.16206
26	annual-j	7	465	2.64384	10.43435	8.15810
27	price-n	31	3261	5.56139	9.77118	8.14082
28	fear-n	5	246	2.23487	10.86750	8.13210
29	TNS-n	3	24	1.73190	13.48809	8.08512
30	Spain-n	4	146	1.99921	11.29826	8.08114
31	sharp-j	4	153	1.99917	11.23070	8.06042
32	high-j	17	1786	4.11839	9.77303	8.03489
33	gold-n	4	166	1.99910	11.11305	8.02272
34	raise-v	10	934	3.15906	9.94274	8.00905
35	zero-m	3	53	1.73172	12.34513	7.97394
36	household-n	4	190	1.99897	10.91823	7.95561
37	exclude-v	3	68	1.73162	11.98559	7.91963
38	further-a	4	210	1.99886	10.77384	7.90197
39	surge-n	3	79	1.73155	11.76927	7.88106
40	energy-n	7	639	2.64312	9.97577	7.87514
41	increase-n	6	505	2.44725	10.09291	7.86557
42	push-v	5	372	2.23426	10.27086	7.85025
43	target-n	4	251	1.99863	10.51654	7.79788
45	cause-v	5	427	2.23399	10.07192	7.74261
46	combination-n	3	125	1.73127	11.10726	7.73009
47	headline-n	3	128	1.73125	11.07305	7.72078
48	negative-j	3	129	1.73124	11.06182	7.71768
49	central-j	4	290	1.99842	10.30818	7.70538
50	figure-n	5	465	2.23381	9.94893	7.67267
51	interest-n	8	958	2.82474	9.58420	7.66015
52	enough-a	4	327	1.99822	10.13494	7.62279
53	ultimately-a	3	163	1.73103	10.72432	7.61630
54	fight-v	3	175	1.73095	10.62184	7.58215
55	impact-n	4	348	1.99811	10.04514	7.57794
56	decade-n	6	710	2.44634	9.60137	7.55154
57	unemployment-n	3	188	1.73087	10.51846	7.54604
58	percent-n	22	3591	4.68209	9.13735	7.51949
59	soon-a	4	382	1.99792	9.91066	7.50815
60	reach-v	5	572	2.23329	9.65014	7.49221
61	cut-v	6	802	2.44593	9.42559	7.43014
62	soar-v	3	232	1.73059	10.21507	7.43014
63	Fed-n	3	256	1.73044	10.07305	7.37064
65	bad-j	6	872	2.44562	9.30486	7.34417
66	hit-v	4	472	1.99743	9.60544	7.33822
67	index-n	3	273	1.73034	9.98029	7.32993
68	M-n	3	273	1.73034	9.98029	7.32993
69	reason-n	4	481	1.99738	9.57819	7.32228
70	pay-n	3	282	1.73028	9.93350	7.30884
71	growth-n	6	903	2.44548	9.25447	7.30768
73	sign-n	3	304	1.73014	9.82512	7.25853
74	measure-n	3	305	1.73014	9.82038	7.25629
75	force-v	4	522	1.99716	9.46018	7.25181
76	develop-v	5	745	2.23244	9.26892	7.24111
77	December-n	3	313	1.73008	9.78303	7.23845
78	account-n	4	547	1.99702	9.39269	7.21047
79	American-j	6	1008	2.44501	9.09577	7.19050
80	consumer-n	7	1265	2.64055	8.99052	7.16080
81	yesterday-n	3	370	1.72973	9.54167	7.11736
82	economic-j	6	1085	2.44467	8.98957	7.11024
83	country-n	8	1610	2.82223	8.83524	7.07222
84	record-n	4	643	1.99650	9.15941	7.06189
85	economist-n	3	404	1.72951	9.41484	7.04969
86	datum-n	3	409	1.72948	9.39709	7.04000
87	start-v	7	1412	2.63995	8.83192	7.03422
88	S-n	3	412	1.72946	9.38655	7.03422
90	particularly-a	3	416	1.72944	9.37261	7.02654
91	effect-n	3	476	1.72906	9.17823	6.91608
93	control-n	3	511	1.72884	9.07587	6.85534
94	likely-j	3	519	1.72879	9.05346	6.84181
95	low-j	4	868	1.99528	8.72654	6.76399
96	rather-a	3	577	1.72843	8.90062	6.74733
97	reduce-v	3	588	1.72836	8.87338	6.73009
98	even-a	8	2196	2.81998	8.38742	6.69280
99	house-n	3	627	1.72811	8.78073	6.67058
102	feel-v	3	663	1.72789	8.70018	6.61774
105	cost-n	5	1440	2.22906	8.31816	6.52589
106	more-j	13	4360	3.59240	8.09841	6.50261
111	allow-v	3	836	1.72680	8.36569	6.38775
112	Bank-n	3	839	1.72678	8.36052	6.38406
113	often-a	3	843	1.72676	8.35366	6.37917
114	back-a	4	1242	1.99324	8.20964	6.37429
116	now-a	8	2909	2.81724	7.98178	6.33511
117	far-a	3	904	1.72637	8.25287	6.30651
118	more-a	7	2571	2.63518	7.96733	6.30105
121	run-v	4	1366	1.99257	8.07234	6.26529
122	just-a	6	2239	2.43955	7.94441	6.25349
127	world-n	5	1859	2.22702	7.94970	6.22061
130	become-v	5	1958	2.22654	7.87485	6.15702
132	get-v	8	3370	2.81546	7.76955	6.14357
133	time-n	8	3496	2.81498	7.71660	6.09537
134	next-j	3	1114	1.72505	7.95152	6.08114
135	lead-v	3	1120	1.72502	7.94377	6.07519
136	government-n	5	2141	2.22565	7.74595	6.04639
137	help-v	4	1675	1.99089	7.77814	6.02487
140	grow-v	3	1191	1.72457	7.85509	6.00659
141	expect-v	3	1210	1.72445	7.83226	5.98877
142	problem-n	3	1215	1.72442	7.82631	5.98412
144	much-a	3	1247	1.72422	7.78880	5.95470
146	come-v	5	2363	2.22457	7.60361	5.92265
147	[number]-m	72	39096	8.43516	7.40328	5.90277
148	States-n	3	1332	1.72368	7.69367	5.87933
153	try-v	3	1404	1.72323	7.61772	5.81843
155	last-j	7	3890	2.62976	7.36989	5.76160
157	year-n	14	8238	3.71770	7.28736	5.74127
