ID	Item	Cooccurrences	Candidates	T-score	MI	LogDice
1	low-j	111	2424	10.52751	10.33692	10.01142	
3	wage-n	60	1251	7.74025	10.40370	9.70783	
4	rate-n	112	3605	10.57094	9.77725	9.60738	
5	fall-v	67	2381	8.17505	9.63442	9.30080	
6	CPI-n	22	47	4.69006	13.69052	9.29578	
7	adjust-v	25	218	4.99846	11.66135	9.27972	
8	inflation-n	41	1100	6.39704	10.03994	9.25426	
9	target-n	39	1051	6.23904	10.03353	9.21461	
10	unemployment-n	30	657	5.47298	10.33282	9.12799	
11	annual-j	35	1380	5.90782	9.48451	8.85316	
12	rise-n	31	1193	5.56018	9.51950	8.79118	
13	report-n	49	2647	6.98661	9.03025	8.74319	
14	outpace-v	15	50	3.87253	13.04871	8.73947	
15	expectation-n	21	543	4.57838	10.09319	8.71020	
16	growth-n	66	4197	8.10575	8.79493	8.67343	
17	price-n	80	5331	8.92317	8.72742	8.67110	
18	quarterly-j	16	191	3.99831	11.20825	8.66573	
19	Bank-n	47	2713	6.84164	8.93459	8.65788	
20	outlook-n	17	303	4.12050	10.62997	8.63316	
21	fall-n	22	767	4.68463	9.66203	8.59293	
22	target-v	17	366	4.11996	10.35744	8.56979	
23	rise-v	40	2374	6.31127	8.89450	8.55955	
24	figure-n	26	1271	5.09019	9.17437	8.48916	
25	high-j	53	3748	7.26188	8.64169	8.48475	
26	measure-n	22	946	4.68327	9.35941	8.46084	
27	remain-v	33	2121	5.73149	8.77954	8.39110	
29	eurozone-n	16	518	3.99542	9.76887	8.34000	
30	slow-v	14	390	3.73797	9.98570	8.26626	
31	deflation-n	11	119	3.31535	11.35029	8.20795	
32	pay-n	20	1197	4.46266	8.88240	8.15639	
33	consistent-j	11	166	3.31485	10.87007	8.15337	
35	pressure-n	18	1049	4.23389	8.92080	8.10048	
36	stable-j	10	151	3.16059	10.86920	8.03306	
37	benign-j	9	26	2.99969	13.25516	8.03293	
38	weak-j	13	548	3.60017	9.38809	8.01394	
39	keep-v	22	1996	4.67535	8.28221	7.86324	
40	percent-n	30	3256	5.45618	8.02368	7.81810	
41	percentage-n	10	359	3.15826	9.61977	7.81116	
42	increase-n	16	1258	3.98887	8.48876	7.79665	
43	period-n	15	1116	3.86278	8.56845	7.79315	
44	consumer-n	28	3049	5.27110	8.01891	7.78881	
45	level-n	20	1878	4.45727	8.23263	7.78180	
46	expect-v	26	2793	5.07963	8.03852	7.77377	
47	core-j	9	260	2.99693	9.93324	7.76053	
48	employment-n	11	593	3.31029	9.03322	7.73407	
49	Carney-n	11	617	3.31004	8.97598	7.71376	
50	ease-v	8	174	2.82625	10.34273	7.68485	
51	pick-v	10	496	3.15672	9.15341	7.68168	
52	Fed-n	11	667	3.30950	8.86357	7.67235	
53	likely-j	15	1313	3.86098	8.33392	7.67028	
54	forecast-n	10	531	3.15633	9.05504	7.65039	
55	outstrip-v	7	50	2.64508	11.94918	7.63994	
56	low-n	8	216	2.82572	10.03079	7.63806	
57	exclude-v	8	228	2.82557	9.95279	7.62496	
58	prolonged-j	7	62	2.64492	11.63884	7.62496	
59	UK-n	40	5593	6.29325	7.65820	7.61349	
60	lag-v	7	87	2.64459	11.15009	7.59425	
61	medium-j	7	88	2.64457	11.13360	7.59304	
62	real-j	14	1360	3.72879	8.18364	7.54291	
63	food-n	22	2788	4.66937	7.80010	7.53462	
64	late-j	16	1734	3.98465	8.02579	7.53138	
65	pace-n	8	334	2.82425	9.40197	7.51417	
66	push-v	11	876	3.30727	8.47032	7.51106	
67	official-n	11	878	3.30725	8.46703	7.50960	
68	faster-a	7	176	2.64340	10.13360	7.48994	
69	slow-j	8	375	2.82373	9.23493	7.47350	
70	dormant-j	6	15	2.44927	13.46375	7.46213	
71	show-v	20	2622	4.45138	7.75115	7.46007	
72	measure-v	8	413	2.82326	9.09568	7.43680	
73	fear-v	7	231	2.64266	9.74128	7.42906	
74	August-n	10	805	3.15326	8.45476	7.42635	
75	fear-n	8	439	2.82293	9.00760	7.41222	
76	hit-v	11	1033	3.30560	8.23249	7.40076	
77	Eurozone-n	6	66	2.44854	11.32625	7.39761	
78	slack-n	6	74	2.44842	11.16119	7.38775	
80	press-n	7	300	2.64174	9.36421	7.35614	
81	continue-v	23	3521	4.76984	7.52747	7.34957	
82	England-n	11	1120	3.30467	8.11583	7.34309	
83	raise-v	14	1732	3.72527	7.83481	7.33975	
84	today-n	12	1424	3.44955	7.89491	7.28347	
85	finally-a	7	383	2.64063	9.01183	7.27305	
87	datum-n	13	1703	3.58883	7.75226	7.24768	
88	advanced-j	6	196	2.44666	9.75593	7.24511	
89	monetary-j	7	414	2.64021	8.89955	7.24321	
90	lift-v	6	207	2.44650	9.67715	7.23292	
91	evidence-n	8	649	2.82030	8.44360	7.22769	
92	return-v	8	656	2.82022	8.42813	7.22192	
93	term-n	12	1542	3.44834	7.78005	7.21755	
94	12-year-j	5	6	2.23597	14.52264	7.21079	
95	index-v	5	8	2.23594	14.10761	7.20819	
96	sign-n	8	680	2.81992	8.37629	7.20234	
97	June-n	10	1129	3.14964	7.96678	7.19975	
98	persistently-a	5	16	2.23581	13.10761	7.19781	
99	threat-n	7	465	2.63953	8.73195	7.19541	
100	gap-n	7	466	2.63952	8.72885	7.19449	
101	interest-n	15	2267	3.85226	7.54600	7.18964	
103	boost-v	7	484	2.63927	8.67417	7.17800	
104	currently-a	8	724	2.81936	8.28583	7.16711	
106	further-a	7	511	2.63891	8.59585	7.15361	
107	May-n	10	1225	3.14856	7.84904	7.13891	
108	house-n	8	797	2.81845	8.14724	7.11050	
109	slightly-a	6	325	2.44479	9.02634	7.10822	
110	average-v	5	95	2.23456	10.53775	7.09913	
111	Report-n	5	103	2.23444	10.42111	7.08951	
112	Japan-n	7	592	2.63783	8.38358	7.08284	
113	ahead-a	8	838	2.81794	8.07487	7.07965	
114	gradually-a	5	112	2.23429	10.30025	7.07875	
115	soon-a	7	612	2.63756	8.33565	7.06589	
116	five-year-j	5	128	2.23404	10.10761	7.05983	
117	stay-v	7	627	2.63736	8.30071	7.05330	
119	crisis-n	11	1637	3.29915	7.56827	7.04105	
120	index-n	6	399	2.44372	8.73040	7.03518	
121	quantitative-j	5	163	2.23349	9.75888	7.01929	
122	easing-n	5	172	2.23334	9.68134	7.00905	
123	drive-v	9	1193	2.98592	7.73523	7.00690	
125	February-n	8	972	2.81626	7.86087	6.98319	
126	control-v	6	475	2.44262	8.47886	6.96383	
128	Draghi-n	5	230	2.23243	9.26212	6.94472	
129	Economics-n	5	237	2.23232	9.21886	6.93714	
130	lack-n	6	507	2.44216	8.38480	6.93481	
131	current-j	9	1332	2.98428	7.57622	6.92200	
132	even-a	17	3518	4.09290	7.09260	6.91441	
133	good-n	7	802	2.63502	7.94557	6.91405	
134	recent-j	11	1892	3.29643	7.35941	6.91254	
135	so-a	24	5449	4.85960	6.95887	6.90790	
136	first-j	19	4159	4.32512	7.01158	6.88735	
137	again-a	9	1397	2.98351	7.50749	6.88394	
138	RPI-n	4	17	1.99970	12.69822	6.87459	
139	dangerously-a	4	19	1.99966	12.53775	6.87201	
140	subdue-v	4	20	1.99965	12.46375	6.87072	
141	mysterious-j	4	22	1.99961	12.32625	6.86814	
142	low-a	4	33	1.99942	11.74128	6.85407	
143	battle-n	5	317	2.23105	8.79927	6.85330	
144	earnings-n	6	606	2.44073	8.12747	6.84856	
145	PDF-n	4	40	1.99929	11.46375	6.84518	
146	month-n	19	4317	4.32383	6.95779	6.84465	
147	currency-n	7	900	2.63371	7.77925	6.84157	
148	back-a	12	2331	3.44028	7.18391	6.84055	
149	rebound-n	4	46	1.99919	11.26212	6.83761	
150	couple-v	4	48	1.99915	11.20072	6.83509	
151	argue-v	7	921	2.63343	7.74598	6.82650	
152	April-n	8	1212	2.81326	7.54250	6.82507	
153	higher-a	4	62	1.99890	10.83148	6.81761	
154	squeeze-n	4	62	1.99890	10.83148	6.81761	
155	stand-v	6	662	2.43992	7.99995	6.80196	
156	suggest-v	8	1250	2.81278	7.49797	6.80155	
157	adjustment-n	4	76	1.99865	10.53775	6.80033	
158	median-j	4	80	1.99858	10.46375	6.79543	
159	Mark-n	6	678	2.43969	7.96550	6.78892	
161	jobless-j	4	103	1.99818	10.09918	6.76758	
162	chart-n	4	105	1.99814	10.07143	6.76518	
164	little-a	5	415	2.22950	8.41064	6.75683	
165	barely-a	4	113	1.99800	9.96550	6.75564	
166	dead-j	4	113	1.99800	9.96550	6.75564	
167	fine-j	4	122	1.99784	9.85494	6.74497	
168	risk-n	10	1956	3.14038	7.17392	6.74450	
169	average-j	6	737	2.43884	7.84512	6.74183	
170	somewhat-a	4	129	1.99772	9.77445	6.73673	
171	housing-n	6	747	2.43869	7.82568	6.73399	
172	worry-v	5	444	2.22904	8.31319	6.72947	
174	particularly-a	6	767	2.43840	7.78756	6.71846	
176	rather-a	8	1404	2.81085	7.33035	6.70998	
178	George-n	5	474	2.22856	8.21886	6.70171	
179	actually-a	6	789	2.43809	7.74676	6.70156	
180	policymaker-n	4	161	1.99715	9.45476	6.69965	
181	core-n	4	161	1.99715	9.45476	6.69965	
184	zero-m	4	178	1.99685	9.30994	6.68033	
185	climb-v	4	184	1.99674	9.26212	6.67357	
186	clear-j	7	1149	2.63038	7.42687	6.67229	
187	recovery-n	6	833	2.43745	7.66847	6.66834	
188	happen-v	7	1156	2.63028	7.41811	6.66780	
189	Yellen-n	4	190	1.99664	9.21582	6.66684	
190	close-n	4	191	1.99662	9.20825	6.66573	
191	Services-n	4	194	1.99657	9.18577	6.66238	
193	economy-n	15	3758	3.83863	6.81682	6.66074	
194	cost-n	13	3134	3.57478	6.87233	6.65263	
195	accelerate-v	4	203	1.99641	9.12034	6.65238	
196	lower-v	4	205	1.99637	9.10620	6.65017	
197	overall-j	5	533	2.22763	8.04961	6.64862	
198	set-v	10	2166	3.13803	7.02679	6.64862	
199	away-a	6	861	2.43704	7.62077	6.64759	
200	still-a	13	3158	3.57454	6.86132	6.64448	
201	explain-v	6	867	2.43696	7.61075	6.64318	
202	decline-n	5	547	2.22741	8.01221	6.63630	
203	environment-n	6	877	2.43681	7.59421	6.63587	
204	#NAME?	51	15709	7.06355	6.51880	6.63548	
205	conference-n	5	551	2.22734	8.00170	6.63280	
206	help-v	15	3857	3.83772	6.77931	6.63164	
207	standard-n	6	886	2.43668	7.57948	6.62931	
208	forecast-v	4	229	1.99595	8.94647	6.62387	
209	live-v	7	1229	2.62930	7.32976	6.62186	
210	give-v	15	3896	3.83737	6.76479	6.62033	
211	#NAME?	4	235	1.99584	8.90916	6.61738	
212	import-n	4	236	1.99582	8.90304	6.61630	
214	seem-v	7	1246	2.62908	7.30994	6.61137	
215	strong-j	8	1608	2.80830	7.13463	6.59699	
216	far-a	8	1613	2.80824	7.13015	6.59433	
217	effect-n	6	942	2.43587	7.49106	6.58920	
218	reflect-v	5	602	2.22654	7.87399	6.58891	
219	central-j	6	962	2.43558	7.46075	6.57513	
220	chancellor-n	4	286	1.99494	8.62581	6.56329	
221	future-j	5	646	2.22584	7.77222	6.55209	
222	also-a	27	8385	5.13902	6.50697	6.54346	
223	mean-v	9	2062	2.97566	6.94577	6.54330	
226	now-a	18	5402	4.19756	6.55633	6.50326	
228	ECB-n	4	349	1.99382	8.33860	6.49916	
229	minimum-j	4	355	1.99372	8.31400	6.49320	
230	trend-n	5	719	2.22468	7.61776	6.49300	
231	country-n	14	4007	3.70374	6.62473	6.48909	
232	generate-v	5	737	2.22440	7.58209	6.47879	
233	July-n	6	1109	2.43346	7.25560	6.47578	
234	hold-v	7	1486	2.62587	7.05581	6.47085	
235	flavour-v	3	11	1.73183	12.91121	6.46732	
236	Frederik-n	3	11	1.73183	12.91121	6.46732	
237	limit-v	4	396	1.99299	8.15632	6.45311	
238	near-term-j	3	22	1.73160	11.91121	6.45311	
239	drop-n	4	397	1.99297	8.15268	6.45214	
240	tackle-v	4	399	1.99294	8.14543	6.45022	
241	runaway-j	3	29	1.73146	11.51266	6.44413	
242	monster-n	3	36	1.73131	11.20072	6.43522	
243	ease-n	3	37	1.73129	11.16119	6.43395	
244	committee-n	5	797	2.22345	7.46917	6.43242	
245	fade-v	3	39	1.73125	11.08524	6.43141	
246	stupid-j	3	41	1.73121	11.01309	6.42888	
247	long-term-j	5	810	2.22324	7.44583	6.42257	
248	too-a	9	2340	2.97238	6.76331	6.42173	
249	upward-j	3	47	1.73109	10.81605	6.42131	
250	nominal-j	3	49	1.73105	10.75593	6.41880	
251	tend-v	4	434	1.99232	8.02413	6.41692	
253	policy-n	9	2387	2.97183	6.73462	6.40215	
254	add-v	10	2780	3.13115	6.66674	6.40009	
255	Treasury-n	4	453	1.99198	7.96231	6.39916	
256	extended-j	3	65	1.73072	10.34827	6.39885	
257	tremendous-j	3	68	1.73066	10.28318	6.39514	
260	mandate-n	3	72	1.73058	10.20072	6.39021	
261	emerge-v	5	866	2.22236	7.34938	6.38088	
262	damaging-j	3	84	1.73033	9.97832	6.37551	
263	November-n	6	1270	2.43113	7.06003	6.37429	
264	run-v	9	2456	2.97101	6.69351	6.37389	
